Paper_ID,Citation,Paper_Type,Core_Problem,Proposed_Method,Key_Assumptions,Datasets_Used,Main_Result,Limitations,Future_Work,Static_or_Dynamic,Single_or_MultiTier,Severity_Mentioned,Camp_Tag,RQ_Relevance,Contradicts_Aligns,Quality_Signal,Terminology_Definitions,Reusable_Figures
"25-ENS~1","Yin X, Niu Z, He Z, Li Z, Lee D. Ensemble deep learning based semi-supervised soft sensor modeling method and its application on quality prediction for coal preparation process.","Framework-Model Proposal","Coal preparation quality prediction faces challenges: manual feature extraction, considerable unlabeled data, temporal dynamic behavior in data, which affect accuracy and efficiency of soft sensor models.","SAE-BLSTM ensemble semi-supervised model: SAE for unsupervised feature extraction from labeled and unlabeled data; BLSTM for bidirectional temporal feature extraction; FC layers for higher-level features; regularization techniques to avoid overfitting.","SAE can extract features from unlabeled data; BLSTM can capture bidirectional temporal dependencies; Taguchi design can optimize hyperparameters; regularization improves generalization.","Dense medium coal preparation process; 20 input variables; predicts ash content; 48,000 samples (2,000 labeled, 46,000 unlabeled).","Achieves R² 0.933, RMSE 0.3868 on testing set; outperforms RBF+LSSVR and DBN+LSTM; semi-supervised learning improves performance (labeled:unlabeled ratio 1:18 optimal); BLSTM outperforms RNN and LSTM.","Feasible labeled/unlabeled data ratio is significant; excessive unlabeled data causes information redundancy; time delay problem in long production lines; computational cost of BLSTM.","Multistage modeling strategy for larger-scale industry; combining multistage modeling and deep learning; handling of longer time delays; online learning for time-varying processes.","Dynamic + Justification: Uses BLSTM for bidirectional temporal feature extraction; handles temporal dependencies in process data.","Not Applicable","No: Focuses on quality prediction for coal preparation, not explicitly fault detection or severity; process monitoring for quality variables.","sae-blstm-soft-sensor","Low: Addresses soft sensing for quality prediction, not directly multi-tier orchestration for fault detection; supports process monitoring.","Not directly aligned with RQ focus on fault detection; addresses quality prediction with semi-supervised learning.","Peer-reviewed","Key terms: Stacked Auto-Encoder (SAE); Bidirectional LSTM (BLSTM); Semi-supervised learning; Quality prediction; Coal preparation; Temporal dependency.","Yes: Figure 1-5 (problem description, SAE, BLSTM architectures), Figure 6-8 (framework), Figure 9-12 (hyperparameter selection, results), Table 4-7 (performance comparison)."
"26-Industrial Semi-Supervised Dynamic Soft-Sensor Modeling Approach Based on Deep Relevant Representation L","Lima JMM, Araújo FMU. Industrial Semi-Supervised Dynamic Soft-Sensor Modeling Approach Based on Deep Relevant Representation Learning. Sensors 2021, 21, 3430.","Framework-Model Proposal","Industrial processes have strong nonlinearity, dynamicity, and lack of labeled data; need to extract relevant features for soft-sensing; SAE may learn irrelevant representations that degrade prediction performance.","MISAEL: semi-supervised deep relevant representation learning combining SAE, mutual information (MI), and LSTM; MI eliminates irrelevant representations layer-by-layer; LSTM coupled for dynamic behavior; k-fold cross-validation ensemble.","MI can evaluate relevance of learned representations; eliminating irrelevant features improves prediction; LSTM can handle process dynamics; ensemble strategy enhances reliability.","Debutanizer column and sulfur recovery unit (SRU) processes; real industrial datasets.","MISAEL achieves RMSE 0.0208 (debutanizer) and 0.0169 (SRU), outperforming PLS, SVR, MLP, SAE, HVW-SAE, SSED, SIAE; eMISAEL (ensemble) achieves RMSE 0.0194 and 0.0133; relative prediction errors show improved robustness.","MI threshold calculation required; LSTM hyperparameter tuning; ensemble increases computational cost; only tested on two industrial processes; semi-supervised assumption (90% unlabeled data) may not hold for all processes.","Targeted-output regularizers on loss function; dynamic-related feature highlighting; application to real industrial scenarios with anomalies and complex environments.","Dynamic + Justification: Uses LSTM for dynamic feature extraction; handles time-series data; semi-supervised learning with unlabeled data.","Not Applicable","No: Focuses on soft sensing for quality prediction, not explicitly fault detection or severity; process monitoring for quality variables.","semi-supervised-representation-learning","Low: Addresses soft sensing with relevant feature extraction, not directly multi-tier orchestration for fault detection; supports process monitoring.","Not directly aligned with RQ focus on fault detection; addresses feature learning for quality prediction.","Peer-reviewed","Key terms: Stacked Autoencoder (SAE); Mutual information (MI); LSTM; Semi-supervised learning; Soft sensor; Relevant representation; Debutanizer column; Sulfur recovery unit.","Yes: Figure 4-5 (MI-SAE and MISAEL framework), Figure 7-11 (MI values, prediction results, error distributions), Table 2-4 (performance comparison)."
"27-A Soft Sensor for Flow Estimation and Uncertainty Analysis Based on Artificial Intelligence A Case Stu","Alencar GMR, Fernandes FML, Moura Duarte R, Melo PF, Cardoso AA, Gomes HP, Villanueva JMM. A Soft Sensor for Flow Estimation and Uncertainty Analysis Based on Artificial Intelligence: A Case Study of Water Supply Systems. Automation 2024, 5, 106-127.","Empirical Study","Water supply systems need accurate flow measurement but physical flow sensors are expensive; need to reduce water losses through improved monitoring; soft sensors can estimate flow from pressure measurements.","LSTM-based soft sensor with Monte Carlo dropout for uncertainty reduction; TEDA for outlier detection in water pressure data; compares LSTM with MLP and CNN reference models; tested on real water supply system.","LSTM can handle time-series data; Monte Carlo dropout can quantify uncertainty; TEDA can detect outliers without prior assumptions; careful hyperparameter tuning improves performance.","Water supply system with booster pump station; 5 variables (level, pressure, flow, adduction flow, adduction pressure); 14,320 samples.","LSTM with Monte Carlo dropout achieves RMSE 0.3121, MAE 0.2450, R² 0.996437, MAPE 2.5368%; outperforms MLP (RMSE 0.3522, R² 0.9954) and CNN (RMSE 0.9251); uncertainty measurement error ~1.82 L/s; TEDA effectively identifies outliers.","Data from single water supply system; Monte Carlo dropout requires careful parameter tuning; outlier detection threshold selection; computational cost of uncertainty quantification.","Integration of soft sensor into IoT system for monitoring and control; application to water purification systems; real-time validation on other water supply networks; online learning for changing conditions.","Dynamic + Justification: Uses LSTM for time-series flow prediction; handles dynamic water supply system behavior; Monte Carlo dropout for uncertainty.","Not Applicable","No: Focuses on soft sensing for flow estimation, not explicitly fault detection or severity; process monitoring for water supply systems.","lstm-soft-sensor-water","Low: Addresses soft sensing for flow estimation, not directly multi-tier orchestration for fault detection; supports process monitoring.","Not directly aligned with RQ focus on fault detection; addresses flow estimation.","Peer-reviewed","Key terms: Soft sensor; LSTM; Monte Carlo dropout; Uncertainty analysis; Water supply systems; TEDA (Typicality and Eccentricity Data Analytics).","Yes: Figure 1-5 (model architectures, data preprocessing), Figure 6-8 (flowcharts, algorithm pseudocode), Figure 9-13 (data distributions, prediction results), Table 1-7 (parameters, results, comparisons)."
"28-Recent Advances in Reinforcement Learning for Chemical Process Control","Devarakonda VS, Sun W, Tang X, Tian Y. Recent Advances in Reinforcement Learning for Chemical Process Control. Processes 2025, 13, 1791.","Survey","Need to review recent advancements in reinforcement learning for chemical process control, with focus on safe RL, controller tuning, and direct policy learning; address challenges in interpretability, sampling efficiency, and uncertainty.","Comprehensive review of RL for chemical process control: MDP basics, state-of-the-art RL algorithms (DQN, DDPG, TD3, SAC, PPO, etc.), applications for controller tuning (PID) and control policy learning, safe RL approaches (constraint tightening, CBF, CIS), and future directions.","RL can improve process control by learning optimal policies from data; safe RL approaches can incorporate constraints; LLMs and meta-learning can address sampling efficiency; transfer learning improves generalization; POMDPs and uncertainty-aware RL are emerging directions.","Various chemical processes: CSTR, distillation, batch processes, bioreactors, HVAC, wastewater treatment, etc.; benchmark systems and real industrial applications.","RL-based PID tuning outperforms conventional methods; direct policy learning achieves comparable or better performance than MPC; safe RL methods (CBF, CIS) provide safety guarantees; LLM-enhanced RL and meta-learning show promise for sampling efficiency; multi-agent RL addresses scalability.","Safe RL still faces challenges in real-world deployment; sampling efficiency remains a key barrier; observability in POMDPs is difficult; interpretability of RL policies is limited; transfer learning and meta-learning require extensive pre-training.","Safe RL with theoretical guarantees; LLM-enhanced RL for autonomous control; uncertainty-aware RL algorithms; meta-learning for sample efficiency; multi-agent RL for large-scale systems; integration with MPC and PID.","Not Applicable","No: Survey paper; discusses fault detection and process safety but not focused on fault severity metrics; process control and optimization.","rl-chemical-process-control-survey","Low: Survey paper; not directly addressing multi-tier orchestration or dynamic AI model complexity allocation for fault detection; provides context on RL for process control.","Not directly aligned with RQ focus on fault detection; addresses process control.","Peer-reviewed","Key terms: Reinforcement learning; Model predictive control (MPC); Process control; Safe reinforcement learning; PID tuning; Actor-critic; Multi-agent RL; Transfer learning; Large language models (LLMs).","Yes: Figure 1-6 (RL schematics, algorithm architectures), Figure 7-11 (safe RL, LLM integration), Table 1-4 (algorithm summaries, application comparisons)."
"29-How to support decision making with reinforcement learning in hierarchical chemical process control","Szatmári K, Chován T, Németh S, Kummer A. How to support decision making with reinforcement learning in hierarchical chemical process control?","Survey","Need to investigate how and where reinforcement learning can be applied at different levels of hierarchical chemical process control; compare RL with traditional control methods; present multi-agent structures and CRISP-RL methodology.","Review of RL applications at three hierarchical control levels: operation level (setpoint tracking, PID tuning), production level (product concentration maximization), business level (profit maximization, cost minimization); multi-agent RL structures (cooperative/competitive, centralized/decentralized); CRISP-RL life cycle for RL projects.","RL can be applied at all hierarchical control levels; reward functions differ by level; multi-agent RL can handle large-scale processes; CRISP-RL provides systematic methodology; RL outperforms traditional controllers in many cases.","Various chemical processes: CSTR, batch reactors, distillation columns, bioreactors, wastewater treatment, etc.; case studies from literature.","RL improves performance at operation level (faster convergence, no overshoot), production level (better disturbance compensation, constraint handling), and business level (higher profit, less computation time); MARL applications in distillation, tank systems, wastewater treatment show promise; CRISP-RL framework for systematic RL development.","Multi-agent RL still in infancy for chemical processes; H-MARL not yet applied; safe RL challenges; computational cost of RL training; limited real-world validation.","H-MARL for hierarchical chemical process control; safe RL with formal guarantees; Bayesian RL for uncertainty; MARL with Bayesian inference; laboratory and industrial validation; online learning.","Not Applicable","No: Survey paper; discusses fault diagnosis but not focused on fault severity; process control and decision-making.","rl-hierarchical-control-survey","Low: Survey paper; not directly addressing multi-tier orchestration or dynamic AI model complexity allocation for fault detection; provides context on RL for hierarchical control.","Not directly aligned with RQ focus on fault detection; addresses hierarchical control.","Peer-reviewed","Key terms: Reinforcement learning; Hierarchical process control; Multi-agent reinforcement learning (MARL); CRISP-RL; PID tuning; Model predictive control (MPC); Optimal control.","Yes: Figure 1-5 (control hierarchy, RL algorithms, keyword analysis), Figure 6-9 (MARL structures, CRISP-RL lifecycle), Table 1-6 (objectives, case studies, comparisons)."
"30-Control-Informed Reinforcement Learning for Chemical Processes","Bloor M, Ahmed A, Kotecha N, Mercangöz M, Tsay C, Del Rio Chanona EA. Control-Informed Reinforcement Learning for Chemical Processes.","Framework-Model Proposal","Model-free RL suffers from sample efficiency issues and does not leverage existing control knowledge; need to integrate classical control structures into RL policies for improved performance and robustness.","CIRL (Control-Informed Reinforcement Learning): deep RL policy augmented with PID controller layer; neural network outputs PID gains, PID layer computes control action; evolutionary strategy for policy optimization; compares CIRL with pure-RL and static PID.","PID control provides disturbance-rejection and setpoint-tracking; deep RL provides nonlinear modeling; embedding PID into RL policy improves sample efficiency and robustness; CIRL can generalize to unseen operating conditions.","Continuous stirred tank reactor (CSTR) system; two controlled variables (C_B, V) and two manipulated variables (T_c, F_in).","CIRL outperforms pure-RL and static PID on setpoint tracking outside training distribution (test reward -1.33 vs -2.08 for RL, -1.77 for static PID); gains adapt to changing operating points; extended training improves performance at high operating points; disturbance rejection better than pure-RL.","Policy optimization via evolutionary strategy not gradient-based; PID gains bounded; CIRL may still need extensive training for complex processes; requires initial PID tuning knowledge; online adaptation not fully explored.","End-to-end differentiability for gradient-based training; initialization via offline RL or behavioral cloning; online adaptation schemes; theoretical guarantees; integration with other control structures (MPC).","Dynamic + Justification: Uses RL for dynamic process control; PID layer provides real-time feedback; handles time-varying dynamics.","Not Applicable","No: Focuses on process control, not explicitly fault detection or severity; process regulation and setpoint tracking.","control-informed-rl","Low: Addresses RL for process control, not directly multi-tier orchestration for fault detection; supports dynamic control.","Not directly aligned with RQ focus on fault detection; addresses process control.","Peer-reviewed","Key terms: Reinforcement learning; PID control; Model predictive control (MPC); Control-informed RL; CSTR; Setpoint tracking; Evolutionary strategies.","Yes: Figure 4-6 (CIRL architecture, process flow), Figure 7-10 (learning curves, setpoint tracking, gain trajectories), Table 1-4 (parameters, results, comparisons)."
"31-Soft Actor-Critic Reinforcement Learning Improves Distillation Column Internals Design Optimization","Fortela DLB, Broussard H, Ward R, Broussard C, Mikolajczyk AP, Bayoumi MA, Zappi ME. Soft Actor-Critic Reinforcement Learning Improves Distillation Column Internals Design Optimization. ChemEngineering 2025, 9, 34.","Empirical Study","AspenPlus® lacks automated optimization for distillation column internals design; manual iterative optimization is time-consuming and can lead to suboptimal design; need to automate design parameter tuning.","SAC-RL for distillation column internals design optimization; Python interface to AspenPlus® RadFrac; action space: 11 column design parameters (tray spacing, weir height, downcomer clearance, weir side length, hole diameter, column diameter); reward based on % approach to flooding; compares with Nelder-Mead, BFGS, SLSQP, dual annealing, SHGO.","SAC can learn optimal design parameters; reward scheme significantly affects SAC performance; column diameter is a significant constraint; SAC hyperparameters have varying effects; SAC outperforms established optimization algorithms.","Tennessee Eastman Process (TEP) binary ethanol-water distillation; RadFrac module in AspenPlus®; 20 stages, sieve tray design.","SAC achieves optimal flooding (80-90%) with automated tuning; outperforms Nelder-Mead, BFGS, SLSQP, dual annealing, SHGO; converges to feasible designs; can be implemented as one-shot learning without pre-training; reward Scheme 6 with diameter penalty enables optimal diameter selection.","Requires AspenPlus® integration; computational cost of RL training; hyperparameter tuning (α, γ, τ, replay buffer length); only tested on binary distillation; optimization can be computationally expensive for complex processes.","Real-time automated design optimization; integration with other process simulators; online learning for changing process conditions; extension to packed columns and other separation processes; multi-objective optimization.","Static + Justification: Focuses on steady-state design optimization, not dynamic process dynamics; static column design parameters.","Not Applicable","No: Focuses on design optimization, not fault detection or severity; process design and equipment sizing.","sac-distillation-design","Low: Addresses design optimization, not directly multi-tier orchestration for dynamic fault detection; supports process design.","Not directly aligned with RQ focus on fault detection; addresses design optimization.","Peer-reviewed","Key terms: Soft Actor-Critic (SAC); Reinforcement learning; Distillation column; AspenPlus®; RadFrac; Column internals design; Flooding; Optimization.","Yes: Figure 1-2 (SAC implementation, column internals), Figure 3-6 (flooding mechanisms, performance results), Figure 7 (optimization comparison), Table 1-13 (variables, results, hyperparameters)."
"32-Using process data to generate an optimal control policy via apprenticeship and reinforcement learning","Mowbray M, Smith R, Del Rio-Chanona EA, Zhang D. Using process data to generate an optimal control policy via apprenticeship and reinforcement learning. AIChE Journal 2021, 67(9), e17306.","Framework-Model Proposal","RL is data-hungry during online training and cannot extract useful information from historical process data; need to leverage existing process data to warm-start RL and reduce training time.","Two-step framework: offline apprenticeship learning via inverse RL (MaxEnt IRL) to learn reward function and parameterize policy from historical data; online RL (REINFORCE with baseline) for further policy improvement; LSTM for policy parameterization.","MaxEnt IRL can extract control objectives from process data; parameterized policy can be improved online with few iterations; historical data from existing controllers can initialize RL; transfer learning can improve efficiency.","Non-isothermal CSTR with endothermic reaction; MIMO system (concentration and temperature); PID controllers as demonstrators; state-space model with stochastic disturbances.","Offline learning matches demonstrated policy trajectory features; online RL improves policy beyond PID (faster rise time, no overshoot, better setpoint tracking); knowledge transfer between tasks reduces training epochs (300 to 80); outperforms PID on setpoint tracking.","Assumes rich informative datasets; MaxEnt IRL requires accurate process model; linear combination of features may be insufficient; requires extensive offline computation; limited to specific process types.","Data augmentation strategies for non-informative data; implementation with process simulators; application to real industrial data; online learning for changing process conditions; integration with MPC.","Dynamic + Justification: Uses RL for dynamic process control; handles time-series data; online improvement for changing dynamics.","Not Applicable","No: Focuses on control policy learning, not explicitly fault detection or severity; process control and optimization.","apprenticeship-rl-control","Low: Addresses RL for control policy learning, not directly multi-tier orchestration for fault detection; supports process control.","Not directly aligned with RQ focus on fault detection; addresses control policy.","Peer-reviewed","Key terms: Apprenticeship learning; Inverse reinforcement learning (IRL); Reinforcement learning; Process control; LSTM; MaxEnt IRL; CSTR.","Yes: Figure 2 (offline-online framework), Figure 3-6 (policy comparison, results), Table 1-4 (case study settings, trajectory features, results)."
"33-Computing operation procedures for chemical plants using whole-plant simulation models","Kubosawa S, Onishi T, Tsuruoka Y. Computing operation procedures for chemical plants using whole-plant simulation models.","Framework-Model Proposal","Chemical plants have complex dynamics and many operation points; optimizing non-stationary operations (load changes, grade changes) is challenging; simulators have gaps from real plants due to modeling errors and changing conditions.","System combining qualitative reasoning (automated reasoning for action selection), deep reinforcement learning (PPO), and online system identification; piecewise linear policy function for stability; online parameter estimation to bridge sim-to-real gap.","Qualitative reasoning can narrow action space; PPO can optimize procedures; piecewise linear policy improves extrapolation; online identification can maintain optimality; PL policy is more stable and extrapolates better than FC policy.","Real chemical distillation plant for water-methanol separation; dynamic simulator; load change and grade change tasks; 4-7 manipulated variables.","Achieves 40% faster transition than human-emulated procedures (load change); consumes half the time and steam; successfully performs grade change with online parameter re-estimation; PL policy outperforms FC policy on extrapolation (untrained targets 80% and 120%).","Requires plant simulator; online identification adds computation; safety concerns for real implementation; PL policy may have limited expressibility; only tested on one plant.","Improved system identification; real-time adjustments; better interaction with operators; uncertainty quantification; explainability for operator trust; application to other chemical plants.","Dynamic + Justification: Uses dynamic simulation and RL for non-stationary operations; online identification for changing conditions.","Not Applicable","No: Focuses on operation procedure optimization, not explicitly fault detection or severity; process operations and control.","rl-plant-operation-procedures","Low: Addresses RL for operation procedures, not directly multi-tier orchestration for fault detection; supports process operations.","Not directly aligned with RQ focus on fault detection; addresses operation optimization.","Peer-reviewed","Key terms: Reinforcement learning; Operation procedures; Dynamic simulation; System identification; Piecewise linear policy; Distillation plant; Load change; Grade change.","Yes: Figure 1-2 (architecture, performance comparison), Figure 3-6 (P&ID, reasoning, results), Figure 7-14 (plant diagrams, procedure comparisons, purity results)."
"34-Reinforcement Learning-based Control via Y-wise Affine Neural Networks (YANNs)","Branif A, Tian Y. Reinforcement Learning-based Control via Y-wise Affine Neural Networks (YANNs).","Framework-Model Proposal","RL algorithms lack interpretability and confidence; exploration phase can be unsafe; need to initialize RL with trusted control laws (e.g., explicit MPC) and maintain confidence while learning nonlinear optimal control.","YANN-RL: Y-wise Affine Neural Networks (YANNs) for exact representation of piecewise affine functions; YANN-actor initialized with mp-MPC explicit control law; YANN-critic represents explicit state-action value function; additional nonlinear layers injected for learning; DDPG-based with no exploration phase.","YANNs can exactly represent piecewise affine functions from mp-MPC; injecting zero-initialized nonlinear layers preserves initial control; YANN-RL starts with confidence of linear optimal control; monotonic policy improvement with small updates.","Clipped pendulum and safety-critical CSTR; CSTR has safety constraint (T < 480K) and risk of thermal runaway; 4 states, 1 manipulated variable.","YANN-RL outperforms DDPG on both case studies; on pendulum, initial YANN-actor outperforms trained DDPG (270.99 vs 28.42 cost); on CSTR, YANN-RL never violates safety constraint vs DDPG (1-9 violations); achieves RMSE 92.22 vs DDPG 664.39; preserves linear control as lower bound.","Requires mp-MPC solution offline; YANN architecture complexity; heuristic confidence not formal guarantee; small updates may not always improve performance; limited to systems with known linear approximation.","Rigorous theoretical guarantees for monotonic improvement; integration with other RL algorithms; online adaptation; application to complex industrial processes; handling of uncertainty and disturbances.","Dynamic + Justification: Uses RL for dynamic control; mp-MPC for linear systems; online learning for nonlinear dynamics.","Not Applicable","Yes: Safety-critical CSTR case study; safety constraint (T<480K); thermal runaway risk; safety violations tracked and compared.","yann-rl-safe-control","High: Addresses dynamic allocation of AI model complexity; provides safe RL with confidence guarantees; supports real-time control.","Aligns with RQ focus on dynamic resource allocation; addresses safety and interpretability.","Peer-reviewed","Key terms: Y-wise Affine Neural Networks (YANNs); Reinforcement learning; Model predictive control (MPC); Multi-parametric MPC (mp-MPC); Safe RL; Control Lyapunov functions; CSTR.","Yes: Figure 1-5 (YANN architecture, RL framework, network structures), Figure 6-14 (case study results, comparisons), Table 1-2 (performance results)."
"35-Flowsheet synthesis through hierarchical reinforcement learning and graph neural networks","Stops L, Leenhouts R, Gao Q, Schweidtmann AM. Flowsheet synthesis through hierarchical reinforcement learning and graph neural networks.","Framework-Model Proposal","Process synthesis needs AI-based methods for automated flowsheet design; previous RL methods use matrix representations; graph representation can better capture topological information; need to combine discrete and continuous decisions.","Hierarchical hybrid RL agent with GNNs; flowsheets represented as graphs (unit operations as nodes, streams as edges); GNN generates flowsheet fingerprints; hierarchical decisions: location selection (discrete), unit operation selection (discrete), design variable selection (continuous); PPO-based.","GNNs can process topological information; hierarchical RL can handle discrete+continuous actions; graph representation enables flexible flowsheet generation; GNN fingerprint improves learning.","Methyl acetate production; equilibrium reactions, azeotropic separation, recycles; reactors, distillation columns, heat exchangers; 10,000 training episodes.","Agent learns to generate economically viable flowsheets; discrete action space achieves 97.6% best score; continuous action space converges after 10,000 episodes; hybrid action space learns quickly (positive value after ~1000 episodes); best flowsheet uses reactor, heat exchanger, column, recycle.","Process simulation simplified (shortcut models); hyperparameters not optimized; reward function only estimated economics; limited number of unit operations; convergence to global optimum not guaranteed.","Interface to advanced process simulators; hyperparameter optimization; reward shaping; larger action space with more unit operations; constraint handling; real-world validation.","Dynamic + Justification: Uses dynamic simulation of flowsheets; RL for sequential decisions; handles time-varying process conditions.","Not Applicable","No: Focuses on flowsheet synthesis, not explicitly fault detection or severity; process design and optimization.","rl-flowsheet-synthesis","Low: Addresses process synthesis, not directly multi-tier orchestration for fault detection; supports process design.","Not directly aligned with RQ focus on fault detection; addresses flowsheet design.","Peer-reviewed","Key terms: Flowsheet synthesis; Reinforcement learning; Graph neural networks (GNN); Hierarchical RL; Hybrid action space; Process design; Methyl acetate production.","Yes: Figure 1-6 (RL framework, graph representation, agent architecture), Figure 7-13 (VLE diagram, learning curves, best flowsheets), Table 1-4 (design variables, hyperparameters)."
"36-Exploring reinforcement learning in process control a comprehensive survey","Rajasekhar N, Radhakrishnan TK, Samsudeen N. Exploring reinforcement learning in process control: a comprehensive survey. International Journal of Systems Science 2025, 56(14), 3528-3557.","Survey","Need to comprehensively examine development, models, algorithms, and practical uses of RL with specific emphasis on process control; classify RL into classical and deep RL; identify challenges hindering wider adoption.","Comprehensive survey of RL for process control: evolution of RL, MDPs, classical RL (DP, MC, TD), deep RL (DQN, DDPG, TD3, SAC, PPO), applications in industrial chemical process control, biochemical process control, energy systems, wastewater treatment, oil and gas; challenges and future directions.","RL can handle nonlinear, stochastic, and uncertain processes; deep RL improves over classical RL; RL can be applied to PID tuning, controller design, and optimization; challenges include sample efficiency, safety, stability, and interpretability.","Various process industries: chemical (CSTR, distillation, flotation), biochemical (fermentation, bioreactors), energy (HVAC, PEMFC), wastewater treatment (activated sludge, DO control), oil and gas (hydraulic fracturing, PSV).","RL-based PID tuning outperforms conventional methods; DDPG, TD3, SAC show strong performance in process control; RL in biochemical processes (DDPG, PPO, SAC) achieves improved product concentration; RL in energy systems reduces energy consumption; RL in wastewater treatment improves DO control; RL in oil and gas optimizes recovery.","RL still mostly laboratory experiments; limited real-world implementation; sample efficiency, safety, stability, reward design, ethical concerns remain challenges; integration with RNNs for partial observability needs investigation.","Safe RL with formal guarantees; integration of RL and RNNs for nonlinear partial observability; transfer learning and meta-learning for sample efficiency; uncertainty-aware RL; LLM-enhanced RL; multi-agent RL for large-scale systems.","Not Applicable","No: Survey paper; discusses fault detection but not focused on fault severity; process control and optimization.","rl-process-control-survey","Low: Survey paper; not directly addressing multi-tier orchestration or dynamic AI model complexity allocation for fault detection; provides comprehensive review.","Not directly aligned with RQ focus on fault detection; provides survey context.","Peer-reviewed","Key terms: Reinforcement learning; Process control; Deep RL; Actor-critic; PID tuning; Model predictive control (MPC); Chemical process control; Biochemical process control; Energy systems; Wastewater treatment.","Yes: Figure 1-10 (AI schematic, controller comparison, RL evolution, MDP, DQN, DDPG, TD3 architectures), Table 1-7 (RL vs RNN comparison, terminology, applications, challenges)."
"37-Hybrid Neural Ordinary Differential Equations for Data-Efficient Polymerization Modeling with Incomplete Kinetics","Almanasreh M, Mitsos A, Cramer E. Hybrid Neural Ordinary Differential Equations for Data-Efficient Polymerization Modeling with Incomplete Kinetics.","Framework-Model Proposal","Purely mechanistic polymerization models require labor-intensive parameterization; purely data-driven models demand large datasets; need to combine mechanistic knowledge with data-driven learning for data-efficient modeling under limited and noisy data.","Hybrid Neural ODE (NODE) for free-radical polymerization: mechanistic mass balances retained; neural network learns only the unresolved effective radical concentration governing monomer consumption; discrete-time FNN and purely data-driven NODE as benchmarks.","Mechanistic knowledge can constrain learning; learning only closure term reduces data requirements; hybrid NODE preserves continuous-time structure; embedding physics improves extrapolation and generalization.","Batch free-radical polymerization of methyl methacrylate (MMA); mechanistic simulator with pivot discretization; sparse, irregular, and noisy data scenarios.","Hybrid NODE achieves RMSE 0.013 (unseen recipe generalization) vs FNN (0.68) and data-driven NODE (0.31); outperforms under regular/irregular sampling and noisy data; maintains physical consistency and extrapolation; one order of magnitude improvement in generalization.","Evaluated on simulator-generated data only; practical systems add experimental noise, model mismatch, transport effects; limited to batch polymerization; requires mechanistic balances; hyperparameter tuning.","Experimental polymerization datasets; transport limitations and temperature dynamics; simultaneous prediction of conversion and molecular weight distributions; other reaction systems with partial mechanistic knowledge.","Dynamic + Justification: Uses NODE for continuous-time dynamics; handles time-series polymerization data.","Not Applicable","No: Focuses on polymerization modeling, not explicitly fault detection or severity; process modeling and prediction.","hybrid-node-polymerization","Low: Addresses hybrid modeling for polymerization, not directly multi-tier orchestration for fault detection; supports process modeling.","Not directly aligned with RQ focus on fault detection; addresses data-efficient modeling.","Peer-reviewed","Key terms: Neural Ordinary Differential Equations (NODE); Hybrid modeling; Free-radical polymerization; Physics-informed machine learning; Data-efficient modeling; MMA polymerization.","Yes: Figure 1-5 (NODE architecture, model comparison, results), Table 1-2 (training recipes, RMSE comparison)."
"38-LON~1","Zarzycki K, Ławryńczuk M. Long Short-Term Memory Neural Networks for Modeling Dynamical Processes and Predictive Control: A Hybrid Physics-Informed Approach. Sensors 2023, 23, 8898.","Framework-Model Proposal","Process measurements are limited to local operating points; first-principles models have imprecise parameters; need to combine physics-based and data-driven modeling to create robust models for predictive control.","Physics-informed hybrid neural network (PIHNN) with LSTM; fuzzy data fusion block combining multiple LSTM sub-models and FP model; two MPC approaches: nonlinear optimization (MPC-NO) and linearization-based (MPC-NPLPT) with quadratic optimization.","LSTM can model dynamical processes; fuzzy fusion can combine sub-models based on operating point; MPC-NPLPT can achieve similar control quality with less computation; PIHNN outperforms individual sub-models.","Polymerization reactor (NAMW control); two LSTM models for different operating ranges; FP model with 20% gain error; fuzzy membership functions (trapezoidal, sigmoidal, Gaussian).","PIHNN with Gaussian MFs achieves best MPC performance (error 2.935-2.741); MPC-NPLPT reduces computation time 4-5 times vs MPC-NO (from 140ms to ~24ms); PIHNN outperforms individual LSTM and FP models; optimized MFs improve modeling accuracy.","Requires multiple LSTM sub-models; fuzzy MF optimization needed; only tested on SISO process; FP model must be available; MPC-NPLPT requires model differentiability.","MIMO process extension; other decision model types in data fusion; online adaptation; real-time implementation; integration with industrial control systems.","Dynamic + Justification: Uses LSTM for dynamic modeling; MPC for predictive control; handles time-varying processes.","Not Applicable","No: Focuses on modeling and predictive control, not explicitly fault detection or severity; process control and optimization.","physics-informed-lstm-mpc","Low: Addresses hybrid modeling for MPC, not directly multi-tier orchestration for fault detection; supports process control.","Not directly aligned with RQ focus on fault detection; addresses modeling and control.","Peer-reviewed","Key terms: Physics-informed neural networks; LSTM; Model predictive control (MPC); Hybrid modeling; Fuzzy logic; Polymerization reactor; Nonlinear optimization.","Yes: Figure 1-4 (PIHNN architecture, LSTM structure), Figure 5-9 (modeling results, membership functions), Figure 10-12 (MPC results), Table 1-2 (error and computation time)."
